id,Location,Burrito,Neighborhood,Address,URL,Cost,overall
348,Roberto's Taco Shop Hillcrest,Asada,Hillcrest,420 Robinson Ave,https://www.yelp.com/biz/robertos-taco-shop-hillcrest-san-diego,7,2.8
349,Roberto's Taco Shop Hillcrest,California Surf and Turf,Hillcrest,420 Robinson Ave,https://www.yelp.com/biz/robertos-taco-shop-hillcrest-san-diego,9,4
350,Roberto's Taco Shop Hillcrest,California,Hillcrest,420 Robinson Ave,https://www.yelp.com/biz/robertos-taco-shop-hillcrest-san-diego,7,2.2
358,Caliente Mexican Food,carne asada ,Sorrento Valley,11815 Sorrento Valley Rd,https://www.yelp.com/biz/caliente-mexican-food-san-diego,5.56,3.5
359,Caliente Mexican Food,carne asada ,Sorrento Valley,11815 Sorrento Valley Rd,https://www.yelp.com/biz/caliente-mexican-food-san-diego,5.56,4
360,Caliente Mexican Food,fried fish,Sorrento Valley,11815 Sorrento Valley Rd,https://www.yelp.com/biz/caliente-mexican-food-san-diego,5.56,3.5
361,Caliente Mexican Food,California,Sorrento Valley,11815 Sorrento Valley Rd,https://www.yelp.com/biz/caliente-mexican-food-san-diego,6.47,2
362,Burrito Factory,Steak everything ,Austin,2025 Guadalupe St,https://www.yelp.com/biz/burrito-factory-austin,7.35,3.5
372,Kotija Jr,California,Del Mar,2668 Del Mar Heights Rd,https://www.yelp.com/biz/kotija-jr-taco-shop-del-mar,6.99,3.7
373,Kotija Jr,Steak fajitas,Del Mar,2668 Del Mar Heights Rd,https://www.yelp.com/biz/kotija-jr-taco-shop-del-mar,7.1,4.2
